game_id,Date,tournament,speed,opening,moves,my_color,my_rating,opponent_id,opponent_rating,game_ending,winner,opponent_country,analysis,accuracy,inaccuracy,mistake,blunder
r6cqEIDx,2021-11-01,False,rapid,"Lion Defense: Anti-Philidor, Lion's Cave",e4 d6 d4 Nf6 Nc3 Nbd7 f4 e5 Nf3 Be7 Bc4 c6 a4 Qc7 O-O O-O h3 Nb6 Bb3 exd4 Nxd4 c5 Ndb5 Qd8 Be3 a6 Na3 Nbd7 Nc4 Nb6 e5 Nxc4 Bxc4 Ne8 Qe2 dxe5 fxe5 Qc7 Bf4 Qc6 Bd5 Qb6 Bd2 Be6 b3 Nc7 Bf3 Rad8 Kh1 Nd5 Nxd5 Bxd5 Bxd5 Rxd5 Bc3 Qe6 Rad1 Rfd8 Rxd5 Qxd5 Rd1 Qxd1+,black,2030,jlenamorado,1948,resign,black,,24 69 40 70 52 72 81 81 61 163 29 231 -37 63 16 56 -23 182 85 134 111 314 310 392 184 190 183 322 350 413 292 314 289 292 293 529 267 686 364 321 412 323 258 347 27 233 0 81 7 61 21 26 -7 0 0 0 0 0 0 0 -1036 -1051 ,77.0,6.0,2.0,5.0
g7TbKUJJ,2021-11-01,False,blitz,King's Indian Defense: Orthodox Variation,d4 Nf6 c4 g6 Nf3 Bg7 Nc3 d6 e4 O-O Be2 b6 h4 Bb7 Bg5 Nxe4 Bd3 Nxc3 bxc3 Nd7 h5 Nf6 hxg6 fxg6 d5 c6 Nd4 Qd7 Ne6 Rf7 Nxg7 Rxg7 O-O cxd5 cxd5 Nxd5,black,2012,dumbape,1958,resign,black,,,,,,
3ExJleML,2021-11-01,False,blitz,King's Indian Defense: Normal Variation,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 h4 Nc6 f3 h5 Be3 O-O Be2 e5 d5 Ne7 Bg5 Nh7 Be3 f5 g4 f4 Bf2 Nf6 Nh3 b6 Ng5 Nh7 Nxh7 Kxh7 Qd3 Kh8 O-O-O Bd7 Rdg1 a6 Rg2 b5 c5 dxc5 Bxc5 Rf7 Rhg1 c6 d6 Nc8 gxh5 gxh5 Bd1 Nb6 Bxb6 Qxb6 Bb3 Raf8 Bxf7 Rxf7 Qc2 Qe3+ Kb1 Qxf3 Qb3,black,2012,plich,2100,outoftime,white,,,,,,
QFnSPSmv,2021-11-01,False,rapid,Indian Defense: Budapest Defense,d4 Nf6 c4 e5 d5 Bc5 e3 h6 Nf3 d6 Be2 Nbd7 a3 a6 b4 Ba7 Nc3 c6 dxc6 bxc6 Qxd6 Bb8 Qxc6 Ra7 Nd2 Bb7 Qa4 O-O O-O Nb6 Qb3 Qc7 g3 Qc6 Bf3 e4 Ncxe4 Nxe4 Bxe4 Qe6 Bxb7 Rxb7 c5 Nd5 Qc4 Rd8 Bb2 Qg6 Nf3 Nf6 Bxf6 Qxf6 Nd4 Rc7 Rad1 h5 a4 h4 b5 hxg3 hxg3 Re7 Nc6 Rxd1 Nxe7+ Qxe7 Rxd1 Bxg3 c6 Bc7 Kf1 Qg5 Ke2 axb5 axb5 Qh5+ Kd3 Qxd1+ Ke4 Qg4+ f4 Qe6+ Qxe6 fxe6 Kd4 Kf7 Kc5 e5 b6 Bd8 c7 Be7+ Kd5,white,1993,night_sniper,2030,resign,white,,0 28 21 108 -31 25 -36 46 -8 -12 -25 8 16 52 59 56 39 251 234 231 268 372 420 392 319 361 357 359 353 559 509 682 543 638 572 587 592 738 769 746 800 776 792 787 700 757 623 790 800 895 853 856 796 838 846 826 833 838 799 855 844 1023 961 1000 1023 1005 1024 1127 938 1087 973 1092 792 853 795 794 -429 -375 -399 -323 -338 0 0 0 0 0 0 1148 965 1103 1164 752 7149 ,57.0,1.0,1.0,1.0
SWjMWBzb,2021-11-01,False,blitz,"Sicilian Defense: Najdorf Variation, Amsterdam Variation",e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 f4 e5 Nf3 Nbd7 Be2 b5 fxe5 b4 exf6 bxc3 fxg7 Bxg7 Rb1 cxb2 Bxb2 Bxb2 Rxb2 Nc5 Qd4 O-O O-O Ne6 Qd2 Bd7 Rd1 Nf4,white,1670,gornix_2_0,2012,resign,white,,24 32 0 0 15 13 0 14 18 21 -13 0 0 0 -33 2 -22 332 351 343 188 186 5 207 223 212 218 307 293 341 312 337 383 487 296 1003 ,39.0,0.0,2.0,1.0
pcbYN0y8,2021-11-01,False,blitz,Rat Defense: Harmonist,e4 d6 f4 c6 Nf3 Qa5 Nc3 Nf6 d3 Bg4 Bd2 Qh5 Be2 Nbd7 h3 h6 Rf1 Bxf3 Bxf3 Qa5 Nd5 Qd8 Nxf6+ Nxf6 Qe2 e5 fxe5 dxe5 O-O-O a5 g4 Bb4 h4 Nd7 Bg2 b5 Qf2 f6 g5 hxg5 hxg5 Qe7 gxf6 gxf6 Bf3 Qe6 Kb1 Nc5 a3 Bxd2 Qxc5 Bf4 Rg1 b4 Bg4 Qc8,white,1682,rafi6924,2012,resign,white,,24 69 0 40 27 122 96 94 92 152 143 223 196 186 120 219 120 142 48 266 238 275 261 349 212 225 171 121 152 189 100 112 84 119 -181 139 53 164 124 106 97 137 109 136 60 103 100 679 525 539 522 627 638 869 888 2427 ,52.0,7.0,1.0,1.0
wGkDQdvf,2021-11-01,False,rapid,Sicilian Defense: Hyperaccelerated Dragon,e4 c5 Nf3 g6 c3 Bg7 e5 Nc6 d4 cxd4 cxd4 d6 exd6 Qxd6 Be3 Nf6 Nc3 O-O Be2 Ng4 Qd2 Nxe3 Qxe3 Nxd4 Nxd4 Qxd4 Qxd4 Bxd4 Rc1 a6 O-O Bg7 Bf3 Rb8 Rfe1 Bh6 Rc2 Bf5 Be4 Be6 g3 b5 Nd5 Bxd5 Bxd5 e6 Bf3 Bg7 b3 Rfd8 Ree2 Rd1+ Kg2 Rd3 g4 Rc3 Rcd2 Rc7 h3,white,1909,tariq63,2030,resign,white,,24 32 0 48 41 33 -32 -24 -16 -13 -25 -23 -54 -46 -142 -100 -93 -96 -86 -76 -96 -94 -509 -485 -467 -403 -417 -372 -467 -304 -323 -87 -173 -150 -309 -121 -284 -244 -308 -287 -365 -145 -169 -101 -107 -94 -89 -65 -97 -82 -117 -63 -72 -44 -125 -107 -137 -140 -142 ,52.0,6.0,2.0,1.0
QGHXZhFB,2021-11-01,False,blitz,Van't Kruijs Opening,e3 e5 g3 d5 Bg2 Nf6 Qe2 Bd6 Bh3 Bxh3 Nxh3 Nbd7 Ng5 O-O h4 c5 h5 h6 Nh3 d4 g4 Nh7 d3 Ng5 Na3 a6 Bd2 Bc7 O-O-O Nxh3 Rxh3 Qc8 Rg1 Bd8 exd4 exd4 g5 hxg5 Bxg5 Bxg5+ Rxg5 Qd8 Qg4 Qf6 Rf3 Qh6 Nc4 f6 Rf5 fxg5 Rxg5 Rf7 Nd6 Qxd6 h6 Qxh6 Kb1 Raf8 Rh5 Nf6 Qg2,black,2012,rojobuho,1535,resign,black,,,,,,
0NThRqah,2021-11-01,False,rapid,Queen's Gambit Declined,d4 d5 c4 e6 e3 Nf6 Nf3 Be7 Nc3 c5 cxd5 exd5 dxc5 Nc6 Be2 a6 a3 Bxc5 b4 Be7 Bb2 O-O O-O Be6 Ng5 Bf5 Nf3 Be4 Nxe4 dxe4 Qxd8 Raxd8 Nd4 Nxd4 Bxd4 Nd5 Rfd1 Bf6 Bxf6 Nxf6 Rac1 Rxd1+ Rxd1 Rc8 b5 axb5 Bxb5 Kf8 g3 Rc7 a4 Ke7 Kg2 Ng4 h3 Ne5 Rd4 f5 Rd5 Ke6 Rd8 Nc6 Bxc6 bxc6 Ra8 Kd6 a5 Kc5 Rb8 Ra7 g4 fxg4 hxg4 Kd5 Rd8+ Kc5 Rd4 Rxa5 Rxe4 Ra7 Kf1 Kd5 Rd4+ Ke6 Ke2 Rc7 Rc4 c5 f4 Kd5 Kd3 g6 e4+ Kd6 Ke3 Kc6 e5 Kd5 Kd3 h5 gxh5 gxh5 Rc2 c4+ Kc3 Ke4 Rf2 Kf5 Rh2 Kg4 e6 h4 f5 Kxf5 Rxh4 Kxe6 Rxc4 Rxc4+ Kxc4,black,2030,ziouche,1929,draw,,,0 32 0 29 2 2 1 2 0 39 0 38 33 58 53 119 48 42 35 86 99 96 82 79 82 67 69 151 93 124 87 87 86 92 114 99 55 62 45 76 57 48 17 41 7 24 31 42 45 69 27 92 30 23 35 33 11 0 -1 0 0 23 -19 -25 -16 -7 -7 0 -16 -12 -12 -11 -18 0 0 -16 -14 34 28 30 0 16 11 19 7 32 8 9 4 0 0 52 78 157 8 213 0 0 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,18.0,6.0,0.0,1.0
DGuvd0Ve,2021-11-01,False,blitz,King's Gambit Accepted: Fischer Defense,e4 e5 f4 d6 Nf3 exf4 Bc4 Nc6 O-O h6 d4 Nf6 Bxf4 Be7 e5 dxe5 Nxe5 Nxe5 Bxe5 O-O Qf3 Be6 Bd3 c6 Bxf6 Bxf6 Qe4 g6 Nc3 Bd5 Nxd5 cxd5 Qf3 Bxd4+ Kh1 Bg7 Rad1 b6 Bc4 Kh8 Rxd5 Qc8 b3 a6 Rfd1 b5 Bd3 Qc7 Be4 Rae8 Rd7 Qe5 Re1 f5 Rf1 fxe4 Qxf8+ Rxf8 Rxf8+ Bxf8 g3 e3,white,1530,bighomie_gus,2012,resign,black,,,,,,
